Z4IWGpZHhu,2700155667,86AYc,96,1,178
R9H0TjVl9c,4093666932,U6yAR,83,2,492
o8obGptx26,8076022091,m7T4D,91,8,70
SLRgZCHvm2,7371458719,UZuMK,80,0,-21
uNSVNV0KzG,4357249583,ghci3,11,7,39
6j88vl26kS,2299024537,rvOO1,58,7,-17
mnUJFMqm1O,2428089581,8CC0v,48,9,137
u3KCDrOj5s,6470060457,IVZC9,37,2,-47
JK6Hz81Uug,6021684767,ozL5v,11,5,427
vrSN8TTWAK,1621879194,uS1tq,28,9,496
DqRNgHmx5D,7915142234,c7TOz,97,5,100
eOsic2flZE,3033008879,l2Xnn,82,7,190
iqMzCfWXbr,8227877525,83nl9,76,8,409
9GSePUv7L7,3069513941,rnW5z,86,9,33
YAhjk738P3,5447394488,vrqp9,34,4,441
eZLyCAH0qC,5740142927,dupBA,88,1,461
LmOeFRmNLj,4252101128,DtfiZ,48,4,493
5XJlk7kMST,1880720084,bksmZ,57,8,105
I2OjF8PEid,6861748789,kg6Ci,63,5,205
Jo2MsR3Wjh,2615681901,Rnx48,87,3,-98
75Ugvfcg4r,8137641263,cWWeO,17,7,220
O9oLmfa5cx,4991778370,sFb66,96,7,-80
4uXWcUt4qE,9161031523,G9no0,19,4,295
msO3Ktic5u,7840430597,6ueG8,84,5,39
uKAJTe33U2,2298072277,PIZuS,82,2,-16
Fn9QRqI802,8543838934,TWPWG,58,9,273
C5h1p1nQx1,8804900057,IAgc8,00,8,386
Fp54NStfR8,6777631666,36n8s,06,7,252
lqTVsL4Gfl,0571546551,31y9e,46,5,353
n2aakrJhTF,7881640726,rQiA8,13,2,477
0Oc4nmOsk1,4913963245,HVDOI,34,1,19
EdV2THA4Bd,9159165765,zcrlA,63,6,255
doPofUn2QB,7021559322,0J8jS,01,7,-19
v6KY9RnSaE,6003626897,AFZHx,69,8,-5
SFTHdL1rSK,1035347272,kMx26,76,0,75
kkOuJ7jzb6,0781734598,CWgJ5,21,6,-54
I5YZEBnqyd,0318662910,OcU1U,43,0,325
5rGSpgJ7Fk,7548973926,UiQkC,55,4,-22
hfU7Yntdcf,2971182136,kEExU,53,7,297
fmzJIqN8av,7085566219,Qbg1I,22,6,249
n6l3MvmPSz,2353636047,XWPPE,98,4,79
KIlVrtEtWj,5477585449,VbL6F,45,8,-23
mOtSUUFTdM,5441562063,i3XNq,41,8,399
Z86mV3tOz4,7048347095,O0OPd,49,8,25
6P77dGRxtL,6796381796,bqUBj,09,8,146
olZS95jYEO,8967281939,PQ9CP,48,9,73
Q9LZPa5iSh,8744608744,JYEsW,79,9,324
7RqlGnpPcs,2527494705,oQZBg,41,2,227
3IjfqkhHoV,2462129771,1sxAV,41,5,402
78cH6WaAf3,5481538571,ElqeY,51,6,29
